,name_x,name_y,value,source,target
966,lina0435,path0084,2,166.0,238.0
967,lina0435,immd0082,2,166.0,59.0
968,card0027,clme0301,2,117.0,180.0
969,card0027,stat0054,2,117.0,252.0
970,card0027,path0084,2,117.0,238.0
971,card0027,immd0082,2,117.0,59.0
972,clme0301,stat0054,2,180.0,252.0
973,clme0301,path0084,2,180.0,238.0
974,clme0301,immd0082,2,180.0,59.0
975,stat0054,path0084,2,252.0,238.0
976,stat0054,immd0082,2,252.0,59.0
977,path0084,immd0082,2,238.0,59.0
978,path0511,clab0101,6,60.0,95.0
979,card0039,clne0024,5,25.0,140.0
980,bioc0192,clne0024,5,94.0,140.0
981,whgu0172,univ0247,2,1.0,240.0
982,cschof,univ0247,2,18.0,240.0
983,clab0127,whgu0172,6,244.0,1.0
984,clab0127,clme0975,2,244.0,31.0
985,whgu0172,clme0975,4,1.0,31.0
986,CJW53,WTK22,4,137.0,681.0
987,clme0497,raob0096,2,41.0,122.0
988,whgu0172,wolf1833,2,1.0,212.0
989,card0027,card0008,6,117.0,277.0
990,card0027,gree1192,2,117.0,10.0
991,immd0237,claridge,10,2.0,97.0
992,clme0240,claridge,2,3.0,97.0
993,MPFS1,APD10,2,253.0,179.0
994,OAS23,CW209,2,39.0,70.0
995,clme0832,clme0169,11,254.0,76.0
996,EAM29,PAL34,2,57.0,380.0
997,stat0054,lina0435,2,252.0,166.0
998,clme0240,ERC24,4,3.0,108.0
999,clme0240,RSJ33,3,3.0,109.0
1000,immd0106,whgu0172,2,143.0,1.0
1001,KMB1001,RCF29,3,43.0,105.0
1002,chem0489,immd0023,5,119.0,201.0
1003,ctsu0385,gree0184,1,255.0,101.0
1004,immd0421,whgu0378,6,256.0,4.0
1005,whgu0172,vacc0036,2,1.0,242.0
1006,clne0009,phpc0084,2,150.0,124.0
1007,BDS10,MPA28,3,203.0,373.0
1008,SDT36,EL422,2,171.0,673.0
1009,clme0497,CA26,2,41.0,185.0
1010,clne0024,clne0013,3,140.0,51.0
1011,KDH29,FM319,2,174.0,346.0
1012,PAWE1,FM319,2,235.0,346.0
1013,bioc1078,TLB20,2,219.0,173.0
1014,clne0013,clne0102,9,51.0,142.0
1015,AMD24,KBM1000,10,14.0,317.0
1016,PP10001,KBM1000,12,16.0,317.0
1017,DFE20,KBM1000,11,72.0,317.0
